fid_index,matched_fields,common_name,species,species_simp
1480,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
1529,species_simp,Coconut Palm,Cocos nucifera,Fruit
1747,species_simp,Coconut Palm,Cocos nucifera,Fruit
1862,species_simp,Coconut Palm,Cocos nucifera,Fruit
1972,species_simp,Coconut Palm,Cocos nucifera,Fruit
2135,species_simp,Coconut Palm,Cocos nucifera,Fruit
2215,species_simp,Coconut Palm,Cocos nucifera,Fruit
2262,species_simp,Coconut Palm,Cocos nucifera,Fruit
2301,species_simp,Coconut Palm,Cocos nucifera,Fruit
2517,species_simp,Coconut Palm,Cocos nucifera,Fruit
2607,species_simp,Coconut Palm,Cocos nucifera,Fruit
2785,species_simp,Coconut Palm,Cocos nucifera,Fruit
2797,species_simp,Coconut Palm,Cocos nucifera,Fruit
2974,species_simp,Coconut Palm,Cocos nucifera,Fruit
2975,species_simp,Coconut Palm,Cocos nucifera,Fruit
3076,species_simp,Coconut Palm,Cocos nucifera,Fruit
3122,species_simp,Coconut Palm,Cocos nucifera,Fruit
3177,species_simp,Coconut Palm,Cocos nucifera,Fruit
3368,species_simp,Coconut Palm,Cocos nucifera,Fruit
3527,species_simp,Coconut Palm,Cocos nucifera,Fruit
3605,species_simp,Coconut Palm,Cocos nucifera,Fruit
3704,species_simp,Coconut Palm,Cocos nucifera,Fruit
3734,species_simp,Coconut Palm,Cocos nucifera,Fruit
3866,species_simp,Coconut Palm,Cocos nucifera,Fruit
4498,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
4953,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
5061,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
5212,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
5216,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
5217,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
5218,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
5353,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
5533,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
5534,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
