point_id,algorithm,num_observations,num_breaks,break_dates,time_span_years,status
1412087,CCD,246,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412087 (possibly due to no enough clear observation)
1412089,CCD,242,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412089 (possibly due to no enough clear observation)
1412091,CCD,247,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412091 (possibly due to no enough clear observation)
1412092,CCD,286,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412092 (possibly due to no enough clear observation)
1412093,CCD,228,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412093 (possibly due to no enough clear observation)
1412094,CCD,206,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412094 (possibly due to no enough clear observation)
1412097,CCD,242,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412097 (possibly due to no enough clear observation)
1412098,CCD,250,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412098 (possibly due to no enough clear observation)
1412102,CCD,220,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412102 (possibly due to no enough clear observation)
1412104,CCD,267,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412104 (possibly due to no enough clear observation)
1412107,CCD,283,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412107 (possibly due to no enough clear observation)
1412110,CCD,267,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412110 (possibly due to no enough clear observation)
1412111,CCD,265,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412111 (possibly due to no enough clear observation)
1412112,CCD,233,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412112 (possibly due to no enough clear observation)
1412113,CCD,262,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412113 (possibly due to no enough clear observation)
1412115,CCD,294,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412115 (possibly due to no enough clear observation)
1412118,CCD,267,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412118 (possibly due to no enough clear observation)
1412120,CCD,241,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412120 (possibly due to no enough clear observation)
1412122,CCD,262,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412122 (possibly due to no enough clear observation)
1412125,CCD,250,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412125 (possibly due to no enough clear observation)
1412128,CCD,270,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412128 (possibly due to no enough clear observation)
1412129,CCD,241,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412129 (possibly due to no enough clear observation)
1412130,CCD,255,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412130 (possibly due to no enough clear observation)
1412131,CCD,244,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412131 (possibly due to no enough clear observation)
1412132,CCD,241,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412132 (possibly due to no enough clear observation)
1412133,CCD,269,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412133 (possibly due to no enough clear observation)
1412134,CCD,250,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412134 (possibly due to no enough clear observation)
1412143,CCD,261,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412143 (possibly due to no enough clear observation)
1412145,CCD,246,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412145 (possibly due to no enough clear observation)
1412147,CCD,263,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412147 (possibly due to no enough clear observation)
1412150,CCD,245,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412150 (possibly due to no enough clear observation)
1412151,CCD,239,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412151 (possibly due to no enough clear observation)
1412153,CCD,267,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412153 (possibly due to no enough clear observation)
1412154,CCD,250,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412154 (possibly due to no enough clear observation)
1412155,CCD,236,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412155 (possibly due to no enough clear observation)
1412156,CCD,265,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412156 (possibly due to no enough clear observation)
1412157,CCD,206,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412157 (possibly due to no enough clear observation)
1412158,CCD,268,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412158 (possibly due to no enough clear observation)
1412160,CCD,259,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412160 (possibly due to no enough clear observation)
1412164,CCD,248,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412164 (possibly due to no enough clear observation)
1412166,CCD,234,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412166 (possibly due to no enough clear observation)
1412167,CCD,247,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412167 (possibly due to no enough clear observation)
1412168,CCD,278,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412168 (possibly due to no enough clear observation)
1412179,CCD,295,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412179 (possibly due to no enough clear observation)
1412181,CCD,279,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412181 (possibly due to no enough clear observation)
1412182,CCD,235,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412182 (possibly due to no enough clear observation)
1412183,CCD,264,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412183 (possibly due to no enough clear observation)
1412184,CCD,266,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412184 (possibly due to no enough clear observation)
1412186,CCD,256,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412186 (possibly due to no enough clear observation)
1412188,CCD,270,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412188 (possibly due to no enough clear observation)
1412189,CCD,227,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412189 (possibly due to no enough clear observation)
1412193,CCD,229,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412193 (possibly due to no enough clear observation)
1412194,CCD,282,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412194 (possibly due to no enough clear observation)
1412196,CCD,271,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412196 (possibly due to no enough clear observation)
1412197,CCD,268,-1,,0.0,error: The COLD function has no change records outputted for pos = 1412197 (possibly due to no enough clear observation)
