point_id,status,num_observations,num_breaks,break_dates,time_range,error_message
1133019,success,880,0,[],1987-12-29 - 2024-12-10,
1133020,success,916,0,[],1987-12-29 - 2024-12-10,
1133026,success,855,0,[],1987-12-29 - 2024-12-10,
1133027,success,916,0,[],1987-12-29 - 2024-12-10,
1133028,success,887,0,[],1987-12-29 - 2024-12-10,
1133030,success,859,0,[],1987-12-29 - 2024-12-10,
1133033,success,887,0,[],1987-12-29 - 2024-12-10,
1133035,success,881,0,[],1987-12-29 - 2024-12-10,
1133036,success,869,0,[],1987-12-29 - 2024-12-10,
1133038,success,860,0,[],1987-12-29 - 2024-12-10,
1133040,success,863,0,[],1987-12-29 - 2024-12-10,
1133042,success,881,0,[],1987-12-29 - 2024-12-10,
1133044,success,871,0,[],1987-12-29 - 2024-12-10,
1133045,success,856,0,[],1987-12-29 - 2024-12-10,
1133049,success,865,0,[],1987-12-29 - 2024-12-10,
1133053,success,868,0,[],1987-12-29 - 2024-12-10,
1133054,success,917,0,[],1987-12-29 - 2024-12-10,
1133062,success,863,0,[],1987-12-29 - 2024-12-10,
1133063,success,858,0,[],1987-12-29 - 2024-12-10,
1133065,success,850,0,[],1987-12-29 - 2024-12-10,
1133066,success,861,0,[],1987-12-29 - 2024-12-10,
1133069,success,874,0,[],1987-12-29 - 2024-12-10,
1133070,success,870,0,[],1987-12-29 - 2024-12-10,
1133072,success,848,0,[],1987-12-29 - 2024-12-10,
1133075,success,871,0,[],1987-12-29 - 2024-12-10,
1133080,success,866,0,[],1987-12-29 - 2024-12-10,
1133088,success,881,0,[],1987-12-29 - 2024-12-10,
1133092,success,856,0,[],1987-12-29 - 2024-12-10,
1133096,success,847,0,[],1987-12-29 - 2024-12-10,
1133099,success,869,0,[],1987-12-29 - 2024-12-10,
1133102,success,869,0,[],1987-12-29 - 2024-12-10,
1133107,success,861,0,[],1987-12-29 - 2024-12-10,
1133110,success,871,0,[],1987-12-29 - 2024-12-10,
1133111,success,861,0,[],1987-12-29 - 2024-12-10,
1133113,success,910,0,[],1987-12-29 - 2024-12-10,
1133115,success,858,0,[],1987-12-29 - 2024-12-10,
1133116,success,850,0,[],1987-12-29 - 2024-12-10,
1133117,success,915,0,[],1987-12-29 - 2024-12-10,
1133118,success,877,0,[],1987-12-29 - 2024-12-10,
1133119,success,879,0,[],1987-12-29 - 2024-12-10,
1133120,success,878,0,[],1987-12-29 - 2024-12-10,
1133121,success,867,0,[],1987-12-29 - 2024-12-10,
1133122,success,870,0,[],1987-12-29 - 2024-12-10,
1133131,success,851,0,[],1987-12-29 - 2024-12-10,
1133134,success,871,0,[],1987-12-29 - 2024-12-10,
1133138,success,870,0,[],1987-12-29 - 2024-12-10,
1133140,success,913,0,[],1987-12-29 - 2024-12-10,
1133141,success,890,0,[],1987-12-29 - 2024-12-10,
1133142,success,911,0,[],1987-12-29 - 2024-12-10,
1133146,success,848,0,[],1987-12-29 - 2024-12-10,
1133147,success,867,0,[],1987-12-29 - 2024-12-10,
1133149,success,862,0,[],1987-12-29 - 2024-12-10,
1133150,success,860,0,[],1987-12-29 - 2024-12-10,
1133152,success,849,0,[],1987-12-29 - 2024-12-10,
1133155,success,847,0,[],1987-12-29 - 2024-12-10,
1133156,success,852,0,[],1987-12-29 - 2024-12-10,
1133158,success,863,0,[],1987-12-29 - 2024-12-10,
1133159,success,872,0,[],1987-12-29 - 2024-12-10,
1133160,success,889,0,[],1987-12-29 - 2024-12-10,
1133161,success,855,0,[],1987-12-29 - 2024-12-10,
1133168,success,881,0,[],1987-12-29 - 2024-12-10,
1133174,success,844,0,[],1987-12-29 - 2024-12-10,
1133175,success,913,0,[],1987-12-29 - 2024-12-10,
1133178,success,865,0,[],1987-12-29 - 2024-12-10,
1133181,success,861,0,[],1987-12-29 - 2024-12-10,
1133183,success,865,0,[],1987-12-29 - 2024-12-10,
1133184,success,868,0,[],1987-12-29 - 2024-12-10,
1133185,success,873,0,[],1987-12-29 - 2024-12-10,
1133187,success,867,0,[],1987-12-29 - 2024-12-10,
1133190,success,875,0,[],1987-12-29 - 2024-12-10,
1133196,success,874,0,[],1987-12-29 - 2024-12-10,
1133198,success,853,0,[],1987-12-29 - 2024-12-10,
1133199,success,850,0,[],1987-12-29 - 2024-12-10,
1133200,success,874,0,[],1987-12-29 - 2024-12-10,
1133205,success,915,0,[],1987-12-29 - 2024-12-10,
1133207,success,847,0,[],1987-12-29 - 2024-12-10,
1133209,success,849,0,[],1987-12-29 - 2024-12-10,
1133210,success,856,0,[],1987-12-29 - 2024-12-10,
1133211,success,874,0,[],1987-12-29 - 2024-12-10,
1133212,success,859,0,[],1987-12-29 - 2024-12-10,
1133217,success,871,0,[],1987-12-29 - 2024-12-10,
1133222,success,879,0,[],1987-12-29 - 2024-12-10,
1133223,success,906,0,[],1987-12-29 - 2024-12-10,
1133224,success,879,0,[],1987-12-29 - 2024-12-10,
1133229,success,916,0,[],1987-12-29 - 2024-12-10,
